"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",82,"Obesity",19,"ready",100,1,"Blackberry Feeding Increases Fat Oxidation and Improves Insulin Sensitivity in Overweight and Obese Males.","Solverson PM, Rumpler WV, Leger JL, Redan BW, Ferruzzi MG, Baer DJ, Castonguay TW, Novotny JA","https://pubmed.ncbi.nlm.nih.gov/30096878/","30096878","https://doi.org/10.3390/nu10081048","10.3390/nu10081048","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115824/","PMC6115824","Journal Article, Randomized Controlled Trial",4
"1","Blackberry",82,"Obesity",19,"ready",100,2,"Attenuation of Postmeal Metabolic Indices with Red Raspberries in Individuals at Risk for Diabetes: A Randomized Controlled Trial.","Xiao D, Zhu L, Edirisinghe I, Fareed J, Brailovsky Y, Burton-Freeman B","https://pubmed.ncbi.nlm.nih.gov/30767409/","30767409","https://doi.org/10.1002/oby.22406","10.1002/oby.22406","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"1","Blackberry",82,"Obesity",19,"ready",100,3,"Relationship between oxidative stress and bone mass in obesity and effects of berry supplementation on bone remodeling in obese male mice: an exploratory study.","Lee SG, Kim B, Soung do Y, Vance T, Lee JS, Lee JY, Koo SI, Kim DO, Drissi H, Chun OK","https://pubmed.ncbi.nlm.nih.gov/25198411/","25198411","https://doi.org/10.1089/jmf.2013.0182","10.1089/jmf.2013.0182","No PMC available",,"Journal Article, Research Support, U.S. Gov't, Non-P.H.S.",0
"1","Blackberry",82,"Obesity",19,"ready",100,4,"Dietary Black Raspberry Seed Oil Ameliorates Inflammatory Activities in db/db Mice.","Lee HJ, Jung H, Cho H, Lee K, Kwak HK, Hwang KT","https://pubmed.ncbi.nlm.nih.gov/27165261/","27165261","https://doi.org/10.1007/s11745-016-4159-4","10.1007/s11745-016-4159-4","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",82,"Obesity",19,"ready",100,5,"Red raspberry decreases heart biomarkers of cardiac remodeling associated with oxidative and inflammatory stress in obese diabetic db/db mice.","Noratto G, Chew BP, Ivanov I","https://pubmed.ncbi.nlm.nih.gov/27841417/","27841417","https://doi.org/10.1039/c6fo01330a","10.1039/c6fo01330a","No PMC available",,"Journal Article",0
"1","Blackberry",82,"Obesity",19,"ready",100,6,"Red raspberry (Rubus idaeus L.) intake decreases oxidative stress in obese diabetic (db/db) mice.","Noratto GD, Chew BP, Atienza LM","https://pubmed.ncbi.nlm.nih.gov/28274436/","28274436","https://doi.org/10.1016/j.foodchem.2017.01.097","10.1016/j.foodchem.2017.01.097","No PMC available",,"Journal Article",0
"1","Blackberry",82,"Obesity",19,"ready",100,7,"Raspberry Ketone Reduced Lipid Accumulation in 3T3-L1 Cells and Ovariectomy-Induced Obesity in Wistar Rats by Regulating Autophagy Mechanisms.","Leu SY, Chen YC, Tsai YC, Hung YW, Hsu CH, Lee YM, Cheng PY","https://pubmed.ncbi.nlm.nih.gov/29164883/","29164883","https://doi.org/10.1021/acs.jafc.7b03831","10.1021/acs.jafc.7b03831","No PMC available",,"Journal Article",0
"1","Blackberry",82,"Obesity",19,"ready",100,8,"Red raspberries suppress NLRP3 inflammasome and attenuate metabolic abnormalities in diet-induced obese mice.","Zhu MJ, Kang Y, Xue Y, Liang X, García MPG, Rodgers D, Kagel DR, Du M","https://pubmed.ncbi.nlm.nih.gov/29202274/","29202274","https://doi.org/10.1016/j.jnutbio.2017.10.012","10.1016/j.jnutbio.2017.10.012","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",82,"Obesity",19,"ready",100,9,"Evaluation of Natural Product Compositions for Appetite Suppression.","Yimam M, Jiao P, Hong M, Brownell L, Lee YC, Hyun EJ, Kim HJ, Kim TW, Nam JB, Kim MR, Jia Q","https://pubmed.ncbi.nlm.nih.gov/29443598/","29443598","https://doi.org/10.1080/19390211.2018.1429518","10.1080/19390211.2018.1429518","No PMC available",,"Journal Article",0
"1","Blackberry",82,"Obesity",19,"ready",100,10,"Raspberry anthocyanin consumption prevents diet-induced obesity by alleviating oxidative stress and modulating hepatic lipid metabolism.","Wu T , Yang L , Guo X , Zhang M , Liu R , Sui W ","https://pubmed.ncbi.nlm.nih.gov/29632909/","29632909","https://doi.org/10.1039/c7fo02061a","10.1039/c7fo02061a","No PMC available",,"Journal Article",0
